CVEGEO,CVE_ENT,NOMGEO,CVE,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
01001,1,Aguascalientes,1001,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
01002,1,Asientos,1002,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4
01003,1,Calvillo,1003,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01004,1,Cosío,1004,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01005,1,Jesús María,1005,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4
01006,1,Pabellón de Arteaga,1006,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4
01007,1,Rincón de Romos,1007,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
01008,1,San José de Gracia,1008,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
01009,1,Tepezalá,1009,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4
01010,1,El Llano,1010,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4
01011,1,San Francisco de los Romo,1011,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4
02001,2,Ensenada,2001,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4
02002,2,Mexicali,2002,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4
02003,2,Tecate,2003,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
02004,2,Tijuana,2004,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4
02005,2,Playas de Rosarito,2005,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
02006,2,San Quintín,2006,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
03001,3,Comondú,3001,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4
03002,3,Mulegé,3002,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
03003,3,La Paz,3003,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4
03008,3,Los Cabos,3008,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
03009,3,Loreto,3009,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
04001,4,Calkiní,4001,1,1,1,1,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4
